X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4403798099828;-34,585994258215;4;VEGA NICETO CNEL.-BONPLAND;BONPLAND;VEGA NICETO CNEL.;AUTOTROL CT800DMC;BONPLAND Y VEGA, NICETO, CNEL. AV.;BONPLAND;VEGA, NICETO, CNEL. AV.
-58,4260656658799;-34,586042773717;3;BORGES-SOLER;SOLER;BORGES;SIEMENS STC M4-20;SOLER Y BORGES, JORGE LUIS;SOLER;BORGES, JORGE LUIS
-58,4357029841756;-34,586070756450;3;JUSTO JUAN B. AV.-GORRITI;GORRITI;JUSTO JUAN B. AV.;SIEMENS STC M4-20;GORRITI Y JUSTO, JUAN B. AV.;GORRITI;JUSTO, JUAN B. AV.
-58,4174329249598;-34,586076736692;3;SCALABRINI ORTIZ AV.-GUEMEZ;GUEMEZ;SCALABRINI ORTIZ AV.;SIEMENS STC M4-20;GUEMES Y SCALABRINI ORTIZ, RAUL AV.;GUEMES;SCALABRINI ORTIZ, RAUL AV.
-58,4806946279094;-34,586089257036;7;DE LOS INCAS AV. - ANDONAEGUI;ANDONAEGUI;DE LOS INCAS AV.;SIEMENS CLE;ANDONAEGUI Y DE LOS INCAS AV.;ANDONAEGUI;DE LOS INCAS AV.
-58,4198876291101;-34,586103268805;3;CHARCAS-MALABIA;MALABIA;CHARCAS;SIEMENS CLS214PLUS;MALABIA Y CHARCAS;MALABIA;CHARCAS
-58,4531110564524;-34,586122818391;4;FOREST AV.-OLLEROS;OLLEROS;FOREST AV.;AUTOTROL CT800DMC;OLLEROS Y FOREST AV.;OLLEROS;FOREST AV.
-58,4300724718581;-34,586126678333;4;COSTA RICA-URIARTE-FRAY J.S.M. DE ORO;URIARTE;COSTA RICA;AUTOTROL CT800DMC;URIARTE Y COSTA RICA;URIARTE;COSTA RICA
-58,4222910607346;-34,586157270028;3;PARAGUAY-ARMENIA;ARMENIA;PARAGUAY;SIEMENS STC M4-20;ARMENIA Y PARAGUAY;ARMENIA;PARAGUAY
-58,5021868742889;-34,586284868299;7;NAZCA AV. - MOSCONI AV.;MOSCONI AV.;NAZCA AV.;SIEMENS CLS95;MOSCONI GENERAL AV. Y NAZCA;MOSCONI GENERAL AV.;NAZCA
-58,4760249289618;-34,586348429418;7;LLERENA - AVALOS;AVALOS;LLERENA;SIEMENS STC M4-20;AVALOS Y LLERENA;AVALOS;LLERENA
-58,4140633276447;-34,586403950732;3;SANTA FE AV.-ALVAREZ JULIAN;ALVAREZ JULIAN;SANTA FE AV.;SIEMENS CLS214PLUS;ALVAREZ, JULIAN Y SANTA FE AV.;ALVAREZ, JULIAN;SANTA FE AV.
-58,4019117497090;-34,586467951640;3;PACHECO DE MELO-AUSTRIA;AUSTRIA;PACHECO DE MELO;SIEMENS STC M4-20;AUSTRIA Y PACHECO DE MELO, JOSE ANDRES;AUSTRIA;PACHECO DE MELO, JOSE ANDRES
-58,4002207758545;-34,586531386259;3;AGUERO - GUTIERREZ;GUTIERREZ;AGUERO;SIEMENS STC M4-20;GUTIERREZ, JUAN MARIA Y AGUERO;GUTIERREZ, JUAN MARIA;AGUERO
-58,4105675433028;-34,586543619583;3;BERUTI - BULNES;BULNES;BERUTI;SIEMENS STC M4-20;BULNES Y BERUTI;BULNES;BERUTI
-58,3982467098454;-34,586546758712;1;LAS HERAS AV.-LAPRIDA;LAPRIDA;LAS HERAS AV.;SIEMENS CLS95;LAPRIDA Y LAS HERAS GENERAL AV.;LAPRIDA;LAS HERAS GENERAL AV.
-58,4454032078914;-34,586624405214;4;AV. DORREGO - LOYOLA;LOYOLA;AV. DORREGO;AUTOTROL CT800DMC;LOYOLA Y DORREGO AV.;LOYOLA;DORREGO AV.
-58,4165379723016;-34,586722535246;3;GUEMEZ-ARAOZ;ARAOZ;GUEMEZ;SIEMENS STC M4-20;ARAOZ Y GUEMES;ARAOZ;GUEMES
-58,4310737730446;-34,586746746562;4;FRAY JUSTO SATAMARIA DE ORO - URIARTE - EL SALVADOR;URIARTE;EL SALVADOR;AUTOTROL CT800DMC;URIARTE Y EL SALVADOR;URIARTE;EL SALVADOR
-58,4392797866901;-34,586761384246;4;VEGA NICETO CNEL.-FITZ ROY;FITZ ROY;VEGA NICETO CNEL.;AUTOTROL CT800DMC;FITZ ROY Y VEGA, NICETO, CNEL. AV.;FITZ ROY;VEGA, NICETO, CNEL. AV.
-58,4413989392501;-34,586780093120;4;CORDOBA AV.-BONPLAND;BONPLAND;CORDOBA AV.;AUTOTROL CT800DMC;BONPLAND Y CORDOBA AV.;BONPLAND;CORDOBA AV.
-58,4329038086587;-34,586837992329;4;HONDURAS-GODOY CRUZ;GODOY CRUZ;HONDURAS;AUTOTROL CT800DMC;GODOY CRUZ Y HONDURAS;GODOY CRUZ;HONDURAS
-58,4816902878810;-34,586840532864;7;DE LOS INCAS AV. - BARZANA;BARZANA;DE LOS INCAS AV.;SIEMENS CLE;BARZANA Y DE LOS INCAS AV.;BARZANA;DE LOS INCAS AV.
-58,4187853447890;-34,586922393252;3;SCALABRINI ORTIZ AV.-CHARCAS;CHARCAS;SCALABRINI ORTIZ AV.;SIEMENS STC M4-20;CHARCAS Y SCALABRINI ORTIZ, RAUL AV.;CHARCAS;SCALABRINI ORTIZ, RAUL AV.
-58,4502136793669;-34,586953472359;4;NEWBERY JORGE-GUEVARA;GUEVARA;NEWBERY JORGE;AUTOTROL CT800DMC;GUEVARA Y NEWBERY, JORGE AV.;GUEVARA;NEWBERY, JORGE AV.
-58,4212379380298;-34,586963686435;3;PARAGUAY-MALABIA;MALABIA;PARAGUAY;SIEMENS STC M4-20;MALABIA Y PARAGUAY;MALABIA;PARAGUAY
-58,3844994339873;-34,586964104583;3;LIBERTADOR - FACUNDO QUIROGA;FACUNDO QUIROGA;LIBERTADOR;SIEMENS STC M4-20;QUIROGA JUAN FACUNDO BRIG. GRAL. Y DEL LIBERTADOR AV.;QUIROGA JUAN FACUNDO BRIG. GRAL.;DEL LIBERTADOR AV.
-58,3962195246458;-34,586966443317;1;PUEYRREDONAV.-VICENTE LOPEZ;VICENTE LOPEZ;PUEYRREDONAV.;SIEMENS CLS95;LOPEZ, VICENTE Y PUEYRREDON AV.;LOPEZ, VICENTE;PUEYRREDON AV.
-58,4131576440637;-34,587003592549;3;SANTA FE AV.-SALGUERO JERONIMO;SALGUERO JERONIMO;SANTA FE AV.;SIEMENS CLS214PLUS;SALGUERO, JERONIMO Y SANTA FE AV.;SALGUERO, JERONIMO;SANTA FE AV.
-58,5034880123397;-34,587066080301;7;MOSCONI AV. - ARGERICH;ARGERICH;MOSCONI AV.;SIEMENS CLS95;ARGERICH Y MOSCONI GENERAL AV.;ARGERICH;MOSCONI GENERAL AV.
-58,3900740351680;-34,587078039945;1;ALVEAR AV.-R.ORTIZ;R.ORTIZ;ALVEAR AV.;SIEMENS CLS;ORTIZ, ROBERTO M., PRES. Y ALVEAR AV.;ORTIZ, ROBERTO M., PRES.;ALVEAR AV.
-58,5138305413138;-34,587114842852;8;AV. FAGNANO-SAN ALBERTO-CONCORDIA;SAN ALBERTO;AV. FAGNANO;AUTOTROL CT800I;OBISPO SAN ALBERTO Y FAGNANO, JOSE AV.;OBISPO SAN ALBERTO;FAGNANO, JOSE AV.
-58,4522068811177;-34,587117123404;4;FOREST AV.-MAURE;MAURE;FOREST AV.;AUTOTROL CT800DMC;MAURE Y FOREST AV.;MAURE;FOREST AV.
-58,4109947525867;-34,587211984177;3;ARENALES - BULNES;BULNES;ARENALES;SIEMENS STC M4-20;BULNES Y ARENALES;BULNES;ARENALES
-58,4029834896378;-34,587249837743;3;AUSTRIA-PEÑA;PEÑA;AUSTRIA;SIEMENS STC M4-20;PEÑA Y AUSTRIA;PEÑA;AUSTRIA
-58,4156641323599;-34,587352701328;3;GUEMEZ-ALVAREZ JULIAN;ALVAREZ JULIAN;GUEMEZ;SIEMENS STC M4-20;ALVAREZ, JULIAN Y GUEMES;ALVAREZ, JULIAN;GUEMES
